text,language
"ಶಿಕ್ಷಣ ಪಡೆಯಲು ಕೆಲವು ವಯಸ್ಸಿನ ಮಕ್ಕಲಿಗೆ, ಶಾಲೆಯಲ್ಲಿ ಹಾಜರಾತಿ, ಹೆಚ್ಚಿನ ಸ್ಥಳಗಳಲ್ಲಿ ಕಡ್ಡಾಯ.",Kannada
ಆದರೂ ಸಾಮಾನ್ಯವಾಗಿ ಮತ್ತು ಪೋಷಕರು ಅಲ್ಪಸಂಖ್ಯಾತರ ಮನೆಯಲ್ಲೇ ಶಿಕ್ಷಣ ಕಲಿಕೆಯ ಮೂಲಕ ಆರಂಭವಾಗುತ್ತದೆ.,Kannada
"ಶೈಕ್ಷಣಿಕ ಯೋಜನ ಇಂಟರ್ನ್ಯಾಷನಲ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ ನಡೆಸಿದ ಅಧ್ಯಯನವು, ಶಿಕ್ಷಣ ಯೋಜನೆ ಮತ್ತು ನಿರ್ವಹಣೆಯ ಬಲವಾದ ವಿಭಾಗದಲ್ಲಿಯೂ ಇಡೀ ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಪ್ರಮುಖ  ಮೇಲೆ ಪರಿಣಾಮ ಹೊoದಿವೆ ಎಂಬುದನ್ನು ಸೂಚಿಸುತ್ತದೆ.",Kannada
ವಯಸ್ಕರಿಗೆ ಅವರು ಮಾಸ್ಟರ್ ಮತ್ತು ಅಂತಿಮವಾಗಿ ಪಾಸ್ ಅಗತ್ಯದ ಜ್ಞಾನ ಮತ್ತು ಕೌಶಲ್ಯಗಳನ್ನು ತಮ್ಮ ಸಮಾಜದ ಯುವ ತರಬೇತಿ ಶಿಕ್ಷಣ ಆರಂಭಿಕ ಪೂರ್ವೇತಿಹಾಸದಿಂದ ಆರಂಭಿಸಿದರು.,Kannada
ಪೂರ್ವ ಸಾಕ್ಷರ ಸಮಾಜದಲ್ಲಿ ಶಿಕ್ಷಣವನ್ನು ಮೌಖಿಕವಾಗಿ ಮತ್ತು ಅನುಕರಣೆ ಮೂಲಕ ಸಾಧಿಸಲಾಯಿತು.,Kannada
ಕಥೆ ಹೇಳುವ ಮೂಲಕ ಮುಂದಿನ ಪೀಳಿಗೆಗೆ ಅದು ಮುಂದುವರೆಯಿತು.,Kannada
"ಸಂಸ್ಕೃತಿಗಳು ಸುಲಭವಾಗಿ ಅನುಕರಣೆ, ಅಭಿವೃದ್ಧಿಗೆ ಸಹಕರಿಸುತ್ತವೆ.",Kannada
ಫಾರ್ಮಲ್ ಎಂಬುವವನು ಮಕ್ಕಳನ್ನು ಮೀರಿ ತಮ್ಮ ಜ್ಞಾನವನ್ನು ವಿಸ್ತರಿಸಲು ಶುರು ಮಾಡಿದ.,Kannada
"ಪಾಶ್ಚಾತ್ಯರಲ್ಲಿ ಶಿಕ್ಷಣದ ಮಹತ್ವ ಶಾಲೆಗಳು, ಮಧ್ಯಕಾಲೀನ ಸಾಮ್ರಾಜ್ಯದ ಸಮಯದಲ್ಲಿ, ಈಜಿಪ್ಟ್ ದೇಶದಲ್ಲಿ ಅಸ್ತಿತ್ವದಲ್ಲಿದ್ದವು.",Kannada
೧೦೮೮ರಲ್ಲಿ ಸ್ಥಾಪಿಸಲಾದ ಬೊಲೊಗ್ನಾ ವಿಶ್ವವಿದ್ಯಾಲಯವು ಪ್ರಸಿದ್ದವಾದುದಾಗಿದೆ.,Kannada
ಪ್ಲೇಟೋ ಅಥೆನ್ಸ್ ನಲ್ಲಿ ಅಕಾಡೆಮಿ ಯುರೋಪ್ ನಲ್ಲಿ ಉನ್ನತ ಶಿಕ್ಷಣದ ಮೊದಲ ಇನ್ಸ್ಟಿಟ್ಯೂಶನ್ ಸ್ಥಾಪಿಸಿದ್ದರು.,Kannada
ಈಜಿಪ್ಟ್ ನ ಅಲೆಕ್ಸಾಂಡ್ರಿಯ ನಗರದಲ್ಲಿ ೩೩೦ BC ಯಲ್ಲಿ ಸ್ಥಾಪಿಸಲಾಯಿತು.,Kannada
ಪ್ರಾಚೀನ ಗ್ರೀಸ್ ನ ಬೌದ್ಧಿಕ ತೊಟ್ಟಿಲು ಅಥೆನ್ಸ್ ನ ಉತ್ತರಾಧಿಕಾರಿ ಆಯಿತು.,Kannada
ಇಲ್ಲಿ ಗಣಿತಜ್ಞ ಯೂಕ್ಲಿಡ್ನ ಮತ್ತು ಅಂಗರಚನಾ ; ಅಲೆಕ್ಸಾಂಡ್ರಿಯಾ ಗ್ರಂಥಾಲಯವು ನಿರ್ಮಿಸಿದ ಮತ್ತು ಗ್ರೀಕ್ ಒಳಗೆ ಹೀಬ್ರೂ ಬೈಬಲ್ ಅನುವಾದ.,Kannada
ಯುರೋಪಿಯನ್ ನಾಗರೀಕತೆಗಳಲ್ಲಿ ಕ್ರಿ.ಶ.,Kannada
೪೭೬ ರಲ್ಲಿ ರೋಮ್ ಪತನದ ನಂತರ ಸಾಕ್ಷರತೆ ಮತ್ತು ಸಂಸ್ಥೆಯ ಒಂದು ವೈಫಲ್ಯವನ್ನು ಅನುಭವಿಸಿತು.,Kannada
"ಚೀನಾ ಕನ್ಫ್ಯೂಷಿಯಸ್ ( ೫೫೧-೪೭೯) ರಾಜ್ಯ ಅವರ ಶೈಕ್ಷಣಿಕ ಮೇಲ್ನೋಟ ಆಫ್ ಚೀನಾ ಸಮಾಜಗಳು ಮತ್ತು ಕೊರಿಯಾ, ಜಪಾನ್ ಮತ್ತು ವಿಯೆಟ್ನಾಂ ಮುಂತಾದ ನೆರೆಯ ಪ್ರಭಾವಿಸಿತು.",Kannada
ಚೀನಾ ದೇಶವು ಅತ್ಯಂತ ಪ್ರಭಾವಿ ಪ್ರಾಚೀನ ತತ್ವಜ್ಞಾನಿ ಆಗಿತ್ತು.,Kannada
ಆಧುನಿಕ ಯುಗಕ್ಕೆ ಪೂರ್ವ ಏಷ್ಯಾದಲ್ಲಿ ಶಿಕ್ಷಣ ಪ್ರಭಾವ ಮುಂದುವರಿಯಿತು.,Kannada
"ರೋಮ್ ಪತನದ ನಂತರ, ಕ್ಯಾಥೋಲಿಕ್ ಚರ್ಚ್ ಪಶ್ಚಿಮ ಯುರೋಪ್ ಸಾಕ್ಷರ ವಿದ್ಯಾರ್ಥಿವೇತನವು ಏಕೈಕ ಆಸರೆ ಆಯಿತು.",Kannada
"ಚರ್ಚ್ ಮುಂದುವರಿದ ಶಿಕ್ಷಣ ಕೇoದ್ರಗಳು, ಎಂದು ಆರಂಭದಲ್ಲಿ ಮಧ್ಯಯುಗದ ಕ್ಯಾಥೆಡ್ರಲ್ ಶಾಲೆಗಳನ್ನು ಸ್ಥಾಪಿಸಲಾಯಿತು.",Kannada
ಮಧ್ಯಕಾಲೀನ ವಿಶ್ವವಿದ್ಯಾನಿಲಯಗಳ ಮತ್ತು ಯುರೋಪಿನ ಆಧುನಿಕ ವಿಶ್ವವಿದ್ಯಾನಿಲಯಗಳ ಅನೇಕ forebears ವಿಕಸನಗೊoಡಿತು.,Kannada
"ಮಧ್ಯಯುಗೀನ ಕೊನೆಯ ಹಂತದಲ್ಲಿ, ಚಾರ್ಟ್ರೆಸ್ ಅವರಿಂದ ಕ್ಯಾಥೆಡ್ರಲ್ ಪ್ರಸಿದ್ಧ ಮತ್ತು ಪ್ರಭಾವಶಾಲಿ ಚಾರ್ಟ್ರೆಸ್ಅವರಿಂದ ಕ್ಯಾಥೆಡ್ರಲ್ ಕಾರ್ಯಾಚರಣೆ.",Kannada
ಪಾಶ್ಚಾತ್ಯ ಕ್ರಿಸ್ಚಿಯನ್ ಮಧ್ಯಯುಗೀನ ವಿಶ್ವವಿದ್ಯಾಲಯಗಳ ಎಲ್ಲ ಪಶ್ಚಿಮ ಯೂರೋಪ್ ಅಡ್ಡಲಾಗಿ ಚೆನ್ನಾಗಿ ಸಮಗ್ರ ಮಾಡಲಾಯಿತು.,Kannada
ಯೂರೋಪ್ ನಲ್ಲಿ ನವೋದಯ ಪ್ರಾಚೀನ ಗ್ರೀಕ್ ಮತ್ತು ರೋಮನ್ ನಾಗರೀಕತೆಗಳು ವೈಜ್ಞಾನಿಕ ಮತ್ತು ಬೌದ್ಧಿಕ ವಿಚಾರಣೆಯ ಮತ್ತು ಮೆಚ್ಚುಗೆ ಹೊಸತನವನ್ನು ಕೊಟ್ಟಿತು.,Kannada
೧೪೫೦ರ ಸುಮಾರು ಜೊಹಾನ್ಸ್ ಗುಟೆನ್ಬರ್ಗ್ ಸಾಹಿತ್ಯ ಕೃತಿಗಳಲ್ಲಿ ಹೆಚ್ಚು ತಕ್ಷಣವೇ ಹರಡಲು ಅವಕಾಶ ಕಲ್ಪಿಸಿತು.,Kannada
ಇದು ಮುದ್ರಣ ಅಭಿವೃದ್ಧಿ ಎಂಪೈರ್ಸ್ ಆಫ್ ಯುರೋಪಿಯನ್ ವಯಸ್ಸು ತತ್ವದ ಶಿಕ್ಷಣ ಯುರೋಪಿಯನ್ ಆಲೋಚನೆಗಳಲ್ಲಿ ಕಂಡಿತು.,Kannada
"ಧರ್ಮ, ಕಲೆ ಮತ್ತು ವಿಜ್ಞಾನ ಜಗತ್ತಿನಾದ್ಯಂತ ಹರಡಿತು.",Kannada
ಜ್ಞಾನೋದಯ ಯುರೋಪ್ ನಲ್ಲಿ ಹೆಚ್ಚು ಜಾತ್ಯತೀತ ಶೈಕ್ಷಣಿಕ ಮೇಲ್ನೋಟ ಕಾಣಿಸಿ ಕೊoಡಿತು.,Kannada
ಹೆಚ್ಚಿನ ದೇಶಗಳಲ್ಲಿ ಇಂದು ಶಿಕ್ಷಣ ಒಂದು ನಿರ್ದಿಷ್ಟ ವಯಸ್ಸಿನ ಎಲ್ಲಾ ಮಕ್ಕಳಿಗೆ ಕಡ್ಡಾಯವಾಗಿದೆ.,Kannada
"ಕಾರಣ ಈ ಜನಸಂಖ್ಯೆ ಬೆಳವಣಿಗೆ ಸೇರಿ ಕಡ್ಡಾಯ ಶಿಕ್ಷಣ ಪ್ರಸರಣಕ್ಕೆ, ಯುನೆಸ್ಕೋ ಮುಂದಿನ ೩೦ ವರ್ಷಗಳಲ್ಲಿ ಹೆಚ್ಚು ಜನರು ಇದುವರೆಗಿನ ಮಾನವ ಇತಿಹಾಸದಲ್ಲೇ ಹೆಚ್ಚು ಔಪಚಾರಿಕ ಶಿಕ್ಷಣ ಸ್ವೀಕರಿಸುತ್ತಾರೆ ಎಂದು ಲೆಕ್ಕಾಚಾರ ಮಾಡಿದೆ.",Kannada
ಭಾರತದಲ್ಲಿ ಶಿಕ್ಷಣ ವ್ಯವಸ್ಥೆ ಭಾರತದಲ್ಲಿ ಆದಿಕಾಲದಿಂದಲು ನಡೆದುಕೊಂಡು ಬಂದ ಗುರುಕುಲ ಶಿಕ್ಷಣ ವ್ಯವಸ್ಥೆಯು ಜಗತ್ತಿನ ಅತ್ಯಂತ ಪುರಾತನ ಶಿಕ್ಷಣ ವ್ಯವಸ್ಥೆಯಾಗಿದೆ.,Kannada
ಅಲ್ಲಿ ಆಳವಾಗಿ ಒಂದೆ ವಿಚಾರದ ಬಗ್ಗೆ ಕುರಿತು ಅಧ್ಯಯನ ನಡೆಯುತ್ತಿತ್ತು.,Kannada
"ಉದಾಹರಣೆಗೆ, ವೇದ, ಉಪನಿಷತ್,ಆಯುರ್ವೇದ, ಯುದ್ದಕಲೆ, ಚಿತ್ರಕಲೆ, ಸಂಗೀತ, ಗಣಿತಶಾಸ್ತ್ರ,ಅರ್ಥಶಾಸ್ತ್ರ,ಯೋಗ ಇಂಥ ವಿಷಯಗಳ ಬಗ್ಗೆ ಅಧ್ಯಯನಗಳು ಜರುಗಿ ವಿದ್ಯಾವಂತರಿಗಿಂತ ಹೆಚ್ಚಾಗಿ ಜ್ಞಾನವಂತರು, ಸುಶಿಕ್ಷಿತರು ಇದ್ದರು.",Kannada
ಭಾರತಕ್ಕೆ ಬ್ರೀಟಿಷರ ಆಗಮನದಿಂದ ನಮ್ಮ ಗುರುಕುಲ ಮಾದರಿಯಿಂದ ಶಾಲೆಯ ಮಾದರಿಯನ್ನು ಪಡೆಯಿತು.,Kannada
"ಒಂದನೇ ತರಗತಿಯಿಂದ ೧೦ ನೇ ತರಗತಿಯವರೆಗೆ ಭಾರತ ಸರ್ಕಾರವು ಉಚಿತವಾಗಿ ಶಿಕ್ಷಣವನ್ನು ನೀಡಿ, ಅದನ್ನು ಶಿಕ್ಷಣವನ್ನು ಪಡೆಯುವ ಹಕ್ಕನ್ನಾಗಿ ಮಾಡಿದೆ.",Kannada
ಅಭಿವೃದ್ಧಿಶೀಲ ವಿಶ್ವದಲ್ಲಿ ೧೯೦೯ ರಿಂದ ಶಾಲೆಗೆ ಹೋಗುವ ಮಕ್ಕಳ ಅನುಪಾತ ಹೆಚ್ಚಾಗಿದೆ.,Kannada
"ಮೊದಲು, ಹುಡುಗರು ಅಲ್ಪಸಂಖ್ಯಾತ ಶಾಲೆಗೆ ಹೋಗುತ್ತಿದ್ದರು.",Kannada
"೨೧ ನೇ ಶತಮಾನದ ಆರಂಭದ ಹೊತ್ತಿಗೆ ವಿಶ್ವದ ಬಹುತೇಕ ವಲಯಗಳಲ್ಲಿ 73 ಮಿಲಿಯನ್ ಮಕ್ಕಳು, ಪ್ರಾಥಮಿಕ ಶಾಲೆಗೆ ಹೋಗಲಿಲ್ಲ.",Kannada
ಬಡವರಲ್ಲಿ ಹೆಚ್ಚಾಗಿ ಹೆಣ್ಣು ಮಕ್ಕಳು ಇದ್ದಾರೆ.,Kannada
"೨೦೦ಕಿಂತ ಹೆಚ್ಚು  ಮಿಲಿಯನ್ ಮಕ್ಕಳು, ಮಾಧ್ಯಮಿಕ ಶಾಲೆಗೆ ಹೋಗಲಿಲ್ಲ.",Kannada
"ಆದರೂ, ಕಳೆದ ದಶಕದಲ್ಲಿ ಸಾರ್ವತ್ರಿಕ ಪ್ರಾಥಮಿಕ ಶಿಕ್ಷಣ ಮಾಡಲಾಗಿದೆ.",Kannada
ಇದು ಪ್ರಗತಿಯ ಕಡೆಗೆ ಕೊಂದೊಯ್ಯುವ ಎಂಟು ಅಂತಾರಾಷ್ಟ್ರೀಯ ಸಹಸ್ರಮಾನ ಅಭಿವೃದ್ಧಿ ಗುರಿಗಳಲ್ಲಿ ಒಂದಾಗಿದೆ.,Kannada
"ನಿರೀಕ್ಷಿತ ದಾನಿಗಳಿಂದ ದತ್ತಿ ನಿಧಿ ನೆರವು, ನಿರ್ದಿಷ್ಟವಾಗಿ ನಿರಂತರ ಸಮಸ್ಯೆಯಾಗಿದೆ.",Kannada
"ಓವರ್ಸೀಸ್ ಡೆವಲಪ್ಮೆಂಟ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ ಶಿಕ್ಷಣಕ್ಕೆ ಹೆಚ್ಚು ಹಣ ಪಡೆಯುವ ಅಡೆತಡೆಗಳನ್ನು  ಹೆಚ್ಚುವರಿಯಾಗಿ, ಟ್ರಾನ್ಸ್ಪರೆನ್ಸಿ ಇಂಟರ್ನ್ಯಾಷನಲ್ ಭ್ರಷ್ಟಾಚಾರ ಪತ್ತೆಹಚ್ಚಿದೆ.",Kannada
ಒಂದು ಅಪಕ್ವವಾದ ನೆರವು ವಾಸ್ತುಶಿಲ್ಪ ಮತ್ತು ಸಮಸ್ಯೆಯನ್ನು ಸಾಕ್ಷಿ ಮತ್ತು ವಕಾಲತ್ತು ಕೊರತೆ ಸೇರಿವೆ ಎಂದು ಸೂಚಿಸಿವೆ.,Kannada
ಆಫ್ರಿಕಾದಲ್ಲಿ ಸಾರ್ವತ್ರಿಕ ಪ್ರಾಥಮಿಕ ಶಿಕ್ಷಣ ಸಾಧಿಸುವ ಒಂದು ಪ್ರಮುಖ ಅಡಚಣೆಯಾಗುತ್ತದೆ.,Kannada
"ಇದಲ್ಲದೆ, ಸುಧಾರಿತ ಶೈಕ್ಷಣಿಕ ಪ್ರವೇಶ ಅಭಿವೃದ್ಧಿಶೀಲ ಪ್ರಪಂಚದಲ್ಲಿ ಬೇಡಿಕೆ ವಿದೇಶಿಯರು ನಿರೀಕ್ಷಿಸಲಾಗಿದೆ.",Kannada
ಸ್ಥಳೀಯ ಸರ್ಕಾರಗಳು ಒಳಗೊoಡಿರುವ ಮರುಕಳಿಸುವ ವೆಚ್ಚ ಪಡೆಯಲು ಇಷ್ಟವಿರುವುದಿಲ್ಲ.,Kannada
ಅಲ್ಪಾವಧಿಯಲ್ಲಿ ಹೆಚ್ಚಾಗಿ ಗಳಿಸಿದ ಹಣ ಶಿಕ್ಷಣದ ದೀರ್ಘಕಾಲದ ಪ್ರಯೋಜನಗಳನ್ನು ಕಡೆಗೆ ತಮ್ಮ ಮಕ್ಕಳಿಗೆ ಆದ್ಯತೆಯನ್ನು ಪೋಷಕರಿಂದ ಆರ್ಥಿಕ ಕೆಲಸದ ಒತ್ತಡ ಇರುತ್ತದೆ.,Kannada
ಮುಂದಿನ ಅಂತರರಾಷ್ಟ್ರೀಕರಣ ಪ್ರತಿಯೊoದು ದೇಶವು ಈಗ ಸಾರ್ವತ್ರಿಕ ಪ್ರಾಥಮಿಕ ಶಿಕ್ಷಣ ಹೊoದಿದೆ.,Kannada
ಸಾಮ್ಯತೆ - ವ್ಯವಸ್ಥೆಗಳಲ್ಲಿ ಅಥವಾ ಆಲೋಚನೆಗಳಲ್ಲಿ - ಶಾಲೆಗಳು ಅಂತಾರಾಷ್ಟ್ರೀಯವಾಗಿ ಹಂಚಿಕೊಳ್ಳುವ ಅಂತರಾಷ್ಟ್ರೀಯ ವಿದ್ಯಾರ್ಥಿ ವಿನಿಮಯ ಹೆಚ್ಚಳಕ್ಕೆ ಕಾರಣವಾಯಿತು.,Kannada
ಯುರೋಪಿಯನ್ ಸಾಕ್ರಟೀಸ್ - ಎರಾಸ್ಮಸ್ ಕಾರ್ಯಕ್ರಮದಲ್ಲಿ ಯುರೋಪಿನ ವಿಶ್ವವಿದ್ಯಾನಿಲಯಗಳ ಅಡ್ಡಲಾಗಿ ವಿನಿಮಯ ಸುಗಮಗೊಳಿಸುತ್ತದೆ.,Kannada
ಸೊರೊಸ್ ಫೌಂಡೇಷನ್ ಮಧ್ಯ ಏಷ್ಯಾ ಮತ್ತು ಪೂರ್ವ ಯುರೋಪ್ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಅನೇಕ ಅವಕಾಶಗಳನ್ನು ಒದಗಿಸುತ್ತದೆ.,Kannada
ಇಂತಹ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಬ್ಯಕೆಲೌರಿಯೇಟ್ ಎಂದು ಪ್ರೋಗ್ರಾಂಗಳು ಶಿಕ್ಷಣ ಅಂತರರಾಷ್ಟ್ರೀಕರಣ ಕೊಡುಗೆ.,Kannada
ಅಮೆರಿಕನ್ ವಿಶ್ವವಿದ್ಯಾಲಯಗಳ ನೇತೃತ್ವದ ಆನ್ಲೈನ್ ಜಾಗತಿಕ ಕ್ಯಾಂಪಸ್.,Kannada
ನಿಜವಾದ ತರಗತಿಗಳು ಅವಧಿಯಲ್ಲಿ ದಾಖಲಾದ ವರ್ಗ ವಸ್ತುಗಳನ್ನು ಮತ್ತು ಉಪನ್ಯಾಸ ಕಡತ ಗಳನ್ನು ಉಚಿತ ಪ್ರವೇಶವನ್ನು ನೀಡುತ್ತದೆ.,Kannada
"அறிவியல் () (Science) என்பது ""அறிந்து கொள்ளுதல் "" எனப் பொருள்படும் scientia எனும்  இலத்தீன் சொல்லில் இருந்து பெறப்பட்டதாகும்.",Tamil
அறிவியல் என்பது புடவி பற்றிய நிறுவமுடிந்த விளக்கங்கள் முன்கணிப்புகளின் வடிவத்தில் அறிவை ஒருங்கமைத்து உருவாக்கும் முறையான நிறுவனம் ஆகும்.,Tamil
"நிகழ்நிலை அறிவியல் இயற்கை அறிவியல், சமூக அறிவியல், முறைசார் அறிவியல் என மூன்றாகப் பகுக்கப்படுகிறது.",Tamil
இயற்கை அறிவியலில் உறழ்திணை உலகம் அல்லது பருப்பொருள் உலகம் ஆயப்படுகிறது.,Tamil
சமூக அறிவியலில் மக்களும் சமூகங்களும் ஆயப்படுகின்றன.,Tamil
"முறைசார் அறிவியலில் புலன்வழி (கருவழியும் உள்ளடங்க) நோக்கீடுகள் அல்லது சான்றுகள் சார்ந்த அளவையியல் (logic), கணிதவியல் முறைகள் ஆயப்படுகின்றன .",Tamil
"அறிவியல் அறிவைப் பயன்படுத்தும் பொறியியல், மருத்துவம், வேளாண்மை ஆகிய துறைகளும் பயன்முறை அறிவியலின் கீழ் கருதப்படும்.",Tamil
"எனவே, அறிவியல் என்பது ஏன் எதனால் எப்படி ஏதொன்றும் இயங்குகின்றது என்று உறுதியாக அறிவடிப்படையில் அறிவது.",Tamil
"இயற்கையை நோக்கி அடிப்படையான பகுத்தறிவு நோக்கிலான அறிவு பெறும் முறையையும், அம்முறையில் பெறப்பட்ட அறிவையும் உள்ளியக்கத்தைப் புரிந்து கொள்ளுதலையும் குறிக்கிறது.",Tamil
"ஒன்றைப் பற்றிய ஒரு கருதுகோளை முன்வைத்து, நேர்பட நிகழ்வுகளைப் துல்லியமாய்ப் பார்த்து, தரவுகளைப் பெற்று, பரிசோதனை, முடிவுகளைக் கண்டுபிடித்து நிறுவுவதே அறிவியல் வழிமுறை.",Tamil
இதன் அடிப்படையில் ஒன்றைப் பற்றிய ஒரு பொது கோட்பாடு உருவாக்கப்படும்.,Tamil
"கோட்பாடுகள் இயற்கையின் இயக்கப்பாடுகளை நன்குணரவும், அவற்றை மேலும் உறுதிப்படுத்தியும் மேம்படுத்தியும் பதிலளிக்க வல்லதாகவும் அமையவேண்டும்.",Tamil
தொல்செவ்வியல் காலம் முதல் 19 ஆம் நூற்றாண்டு வரையில் அறிவியல் மெய்யியலுக்கு நெருக்கமான அறிவு வகைமையாகவே கருதப்பட்டு வந்தது.,Tamil
"மேற்கத்திய நடைமுறையில் இயற்கை மெய்யியல் எனும் சொல் இன்றைய வானியல், மருத்துவம், இயற்பியல் ஆகிய ஆய்வுப் புலங்களை குறித்துவந்துள்ளது.",Tamil
"என்றாலும், இசுலாமியப் பொற்காலத்தில் அறிவியல் முறை குறித்த அடிப்படைகளை  இபின் அல் ஹய்தம் அவர்களால் அவரது  ஒளியியல் நூலில் வறையறுக்கப்பட்டது.",Tamil
"பருப்பொருள் உலகம் இந்தியாவில் பூதங்கள் எனவும் கிரேக்கத்தில் செவ்வியல் தனிமங்கள் எனவும் நீர், நிலம், நெருப்பு, காற்று என நான்காக வரையறுத்தது, மிகவும் மெய்யியலோடு நெருக்கமானதேயாகும்.",Tamil
"ஆனால் இடைக்கால இசுலாமியப் பொற்கால, நடுவண் கிழக்குநாட்டு அறிவியல் முறை வரையறை, நடைமுறை சார்ந்தும் செய்முறை நோக்கிடுகளைச் சார்ந்தும் பொருள்களை வகைப்படுத்த வேண்டும் எனக் கருதியது.",Tamil
"பதினேழு, பதினெட்டாம் நூற்றாண்டு அறிவியலாளர்கள் இயற்பியல் விதிகளைச் சார்ந்தே அறிவை வரையறுக்க முயன்றனர்.",Tamil
"ஆனால், பத்தொன்பதாம் நூற்றாண்டில், அறிவியல் எனும் சொல் இயற்கை உலகை முறையாக ஆய்வதற்கான அறிவியலின் முறையைக் குறிக்கவே பயன்படலானது.",Tamil
இந்தக் காலகட்டத்தில் தான் உயிரியலும் வேதியியலும் இயற்பியலும் புத்தியல்பு வ்வங்களை எய்தின.,Tamil
"இக்காலத்தில் தான் அறிவியலாளர், அறிவியல் குமுகம் எனும் சொற்களும் அறிவியல் நிறுவனங்களும் தோன்றின.",Tamil
இவற்றின் சமூக ஊடாட்டங்களுக்கு மற்ற பண்பாட்டுக் கூறுகளுக்கு ஒப்ப முதன்மைத் தன்மை கிடைத்தது.,Tamil
வரலாறு முதன்மைக் கட்டுரை:அறிவியலின் வரலாறு பரந்த பொருளில் அறிவியல் புத்தியல் ஊழிக்கு முன்பே பல வரலாற்று நாகரிகங்கள் நிலவியது.,Tamil
புத்தியல் அறிவியல் தன் அறிவியல் இலக்கியத்தின்/ முடிவுகளின் அணுகுமுறையில் தெளிவாகவும் வெற்றியோடும் விளங்குகிறது.,Tamil
"எனவே, அறிவியல் எனும் சொல்லை அதன் உரிய பொருளில் கருக்காக வரையறுக்கிறது.",Tamil
"தொல்பழங்காலம் அறிவியல் தன் முதல்நிலைப் பொருளில் அறிவின் ஒருவகையைக் குறித்ததே தவிர, அத்தகைய அறிவின் தேட்டத்துக்கான சிறப்பு சொல்லாக அமைந்திலது.",Tamil
"குறிப்பாக, இது மக்கள் ஒருவருக்கொருவர் பரிமாறிப் பகிரும் வகைப்பட்ட அறிவாக இலங்கியது.",Tamil
"எடுத்துகாட்டாக,இயற்கைப் பொருள்களின் இயக்கம் பற்றீய செயல்பாட்டு அறிவாகவரலாறெழிதியல் காலத்துக்கு முன்பே திரண்டு சிக்கலான நுண்சிந்தனை வளர்ச்சிக்கு வழிவகுத்திருந்தது.",Tamil
"இது சிக்கலான நாட்காட்டிகளின் உருவாக்கம், நஞ்சுப்பொருள்களை உண்பொருள்களாக மாற்றும் நுட்பங்கள், சிக்கலான கூம்புகோபுரங்களின் கட்டுமானம் ஆகியவற்றின்வழி தெளிவாகிறது.",Tamil
"என்றாலும், இவை சார்ந்த அறிவின் தனித்தன்மை தெளிவாக தன்னுணர்வோடு வரையறுக்கப்படவில்லை.",Tamil
இவ்வுண்மை ஒவ்வொரு நாகரிகத்துக்கும் பொருந்தும்.,Tamil
"இவை மற்ற வகை அறிவுவகைகளான தொன்மங்கள், சட்ட நடைமுறைகளில் இருந்து வேறுபட்டிருந்தன.",Tamil
"அறிவியல் வழிமுறை என்று கருதப்பட, அவ்வழிமுறை பின்வரும் கூறுகளின் அடிப்படையில் அமையவேண்டும்.",Tamil
அறிவியல் முறை மீள்நிகழ்திற வழியில் இயற்கையின் நிகழ்ச்சிகளை விளக்குவதற்கு முயல்கிறது.,Tamil
ஒரு விளக்கச் சிந்தனைச் செய்முறை அல்லது கருதுகோள் ஒக்காம் அலகு நெறிமுறையைப் பயன்படுத்தி ஒரு விளக்கமாக முன்வைக்கப்படும்.,Tamil
இது பொதுவாக அந்நிகழ்வுக்கான பிற  ஏற்புடைய உண்மைகளோடு பொருந்தும் என எதிர்பார்க்கப்படுகிறது.,Tamil
முன்கணிப்பின் மெய்ப்பிக்க இயலாமை ஆய்வு நன்றாக முன்னேறுகிறது என்பதற்குச் சான்றாக அமையும்.,Tamil
உண்மையினை அடைகிறது.,Tamil
"மேலும், முதல்-விளைவு (காரணக் காரிய) உறவை நிறுவவும், ஒப்புறவுப் பிழையைத் தவிர்க்கவும் அறிவியல் நிறுவலுக்கு செய்முறை மிகவும் இன்றியமையாததாகும்]]).",Tamil
ஒரு கருதுகோள் நிறைவாக அமையவில்லியெனில் அது திருத்தப்படும் அல்லது மறுக்கப்படும்.,Tamil
"கருதுகோள் ஓர்வில் (சோதிப்பில்) வென்றால், அது அற்வியல் கோட்பாடாக ஏற்கப்படும்.",Tamil
"அதாவது, இது குறிப்பிட்ட இயற்கை நிகழ்வின் நடத்தையை அளவையியலாகவும் தன்னிறைவாகவும் விளக்கும் படிமமாக ஏற்கப்படும்.",Tamil
"கோட்பாடு கருதுகோளைவிட மிகப்பரந்த நிகழ்வின் கணங்களை விவரிக்கும்; வழக்கமாக, ஒரு கோட்பாட்டில் இருந்து அதற்கு இயைவான அல்லது கட்டுண்ட பல கருதுகோள்களை அளவையியலாகக் கொணரலாம்.",Tamil
எனவே ஒரு கோட்பாடு எனும் கருதுகோள் வேறு பல கருதுகோள்களை விளக்கவல்ல கருதுகோளாகும்.,Tamil
